"","dayOut","monthOut","yearOut","cooking","officeSkills","woodWorking","musicPerf","outdoorActivities","indoorActivies","programming","houseKeeping","accounting","gardening","drawing","painting","travel","dailyTotal"
"1",1,1,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2",2,1,2006,287,1,11,852,172,13,62,67,12,71,771,20,36,27102
"3",3,1,2006,466,3,2,1153,283,26,161,113,20,78,1007,27,76,38221
"4",4,1,2006,480,1,8,1157,226,13,162,109,5,82,858,48,27,36224
"5",5,1,2006,291,6,0,844,181,11,110,102,9,91,595,13,58,30320
"6",6,1,2006,485,7,7,1230,288,30,164,123,6,98,794,26,83,38530
"7",7,1,2006,519,2,16,1062,251,13,106,98,17,107,914,28,45,35605
"8",8,1,2006,180,2,9,392,128,6,46,35,10,10,336,18,15,13099
"9",9,1,2006,364,2,18,948,247,13,156,148,8,109,780,42,47,35181
"10",10,1,2006,490,2,4,956,261,8,111,169,0,98,903,47,66,35580
"11",11,1,2006,712,9,5,1372,332,16,224,179,0,87,1120,32,78,45935
"12",12,1,2006,355,0,17,962,313,3,121,85,3,87,856,37,89,33077
"13",13,1,2006,517,4,14,992,264,15,198,84,4,109,832,48,70,38010
"14",14,1,2006,369,1,6,892,158,10,97,112,5,138,777,46,37,29227
"15",15,1,2006,83,3,2,182,60,0,30,32,3,24,201,5,6,6151
"16",16,1,2006,0,0,0,3,0,0,0,0,0,0,0,0,0,11
"17",17,1,2006,336,5,6,707,193,10,130,59,2,76,664,11,47,23956
"18",18,1,2006,284,1,6,757,148,8,150,82,13,38,501,17,31,25083
"19",19,1,2006,284,0,3,585,160,9,68,53,3,55,422,6,21,19635
"20",20,1,2006,309,3,9,653,124,6,102,59,8,90,558,27,45,21813
"21",21,1,2006,281,3,14,895,170,18,135,89,12,79,745,8,50,24911
"22",22,1,2006,80,1,2,161,51,4,30,24,0,5,155,12,15,5551
"23",23,1,2006,252,3,4,756,176,14,92,78,6,58,654,9,31,21722
"24",24,1,2006,621,0,10,1271,355,20,177,181,8,94,1159,35,84,43719
"25",25,1,2006,582,0,10,1503,309,22,207,190,12,152,1326,47,75,47670
"26",26,1,2006,475,4,18,1123,312,4,160,110,11,125,910,24,101,39214
"27",27,1,2006,590,7,23,1456,395,8,204,140,2,112,1106,44,102,47481
"28",28,1,2006,564,2,23,1539,379,25,261,163,9,161,1406,55,64,51225
"29",29,1,2006,175,0,12,341,95,8,76,22,2,50,408,12,27,13668
"30",30,1,2006,627,0,13,1243,281,5,173,138,2,103,1343,42,87,42711
"31",31,1,2006,439,12,3,1151,291,8,204,122,2,129,923,58,48,38264
"32",1,2,2006,632,4,27,1482,345,6,185,142,6,180,1306,30,104,51478
"33",2,2,2006,380,0,11,1193,251,3,120,157,5,113,1033,52,50,39421
"34",3,2,2006,535,2,18,1329,322,19,238,182,0,139,1332,40,79,47150
"35",4,2,2006,552,11,41,1369,393,15,185,135,7,189,1235,50,80,44368
"36",5,2,2006,120,0,3,270,73,0,34,21,1,20,408,18,19,10639
"37",6,2,2006,381,4,6,1131,321,3,163,105,11,94,1058,27,73,37865
"38",7,2,2006,492,7,20,879,353,13,184,137,9,122,1103,33,60,39353
"39",8,2,2006,583,7,8,1276,359,26,164,120,0,195,1515,34,82,47654
"40",9,2,2006,434,0,8,1077,259,25,142,139,16,149,999,32,73,36832
"41",10,2,2006,371,13,0,1139,271,15,234,131,8,139,867,19,65,38619
"42",11,2,2006,580,1,2,1305,284,18,189,141,16,150,1253,49,46,41951
"43",12,2,2006,150,0,5,278,112,8,56,29,0,25,320,24,23,12122
"44",13,2,2006,421,4,25,1043,223,12,168,126,5,178,1131,31,82,36948
"45",14,2,2006,414,4,21,1068,282,23,154,100,17,152,852,49,80,37257
"46",15,2,2006,443,2,14,1403,321,15,137,185,5,161,1349,47,55,46513
"47",16,2,2006,447,0,5,1155,237,12,178,105,2,117,1074,38,49,37704
"48",17,2,2006,481,0,2,1214,279,15,162,131,6,151,1242,47,76,42281
"49",18,2,2006,543,0,3,1249,384,30,160,128,14,192,1364,42,70,45095
"50",19,2,2006,144,8,3,382,67,0,59,43,8,44,391,19,12,13760
"51",20,2,2006,0,0,0,9,0,0,0,0,0,0,0,0,0,27
"52",21,2,2006,528,11,7,1054,305,3,187,147,4,132,1117,34,96,46173
"53",22,2,2006,505,0,6,1148,365,13,223,166,3,207,1128,62,83,45143
"54",23,2,2006,485,1,26,1026,351,21,176,135,8,173,916,29,80,39673
"55",24,2,2006,509,3,13,1147,354,4,156,126,7,127,1257,27,108,42000
"56",25,2,2006,427,5,8,994,261,27,171,134,4,141,1145,15,75,36520
"57",26,2,2006,117,0,3,251,54,1,46,24,3,17,236,15,18,8139
"58",27,2,2006,346,5,12,1006,200,12,151,132,0,107,1041,16,34,34864
"59",28,2,2006,414,0,7,1070,281,15,137,106,10,141,892,41,71,38799
"60",1,3,2006,523,0,25,1205,323,20,210,163,16,108,1291,39,84,46465
"61",2,3,2006,645,0,12,1116,222,10,206,152,9,166,1057,32,45,44063
"62",3,3,2006,522,7,23,1247,260,19,118,143,4,159,940,35,98,41283
"63",4,3,2006,485,13,6,1178,328,23,150,139,3,145,1194,52,97,43683
"64",5,3,2006,219,0,0,556,125,10,102,48,2,80,490,22,24,17826
"65",6,3,2006,356,1,3,1053,322,39,116,146,5,165,1046,49,52,40481
"66",7,3,2006,475,4,13,1086,396,17,155,94,8,135,1182,38,76,40050
"67",8,3,2006,535,5,14,1179,351,12,130,169,17,173,1372,38,90,45296
"68",9,3,2006,523,9,9,1464,361,10,164,156,3,152,1239,30,74,45664
"69",10,3,2006,459,3,7,1184,252,13,152,106,4,136,943,41,57,38566
"70",11,3,2006,574,3,28,1468,355,5,182,137,10,227,1488,51,81,47760
"71",12,3,2006,184,0,9,454,121,3,68,37,0,70,591,16,20,15855
