yearOut,monthOut,popularity,bibNumber
2007,1,338,1297288
2007,1,1651,1701557
2007,1,364,2098249
2007,1,243,2149593
2007,1,28,2150132
2007,1,1104,2244273
2007,2,394,1297288
2007,2,2361,1701557
2007,2,490,2098249
2007,2,2104,2149593
2007,2,224,2150132
2007,2,2442,2244273
2007,3,499,1297288
2007,3,4774,1701557
2007,3,1478,2098249
2007,3,2260,2149593
2007,3,56,2150132
2007,3,2424,2244273
2007,4,913,1297288
2007,4,3373,1701557
2007,4,714,2098249
2007,4,2056,2149593
2007,4,224,2150132
2007,4,3599,2244273
2007,5,1066,1297288
2007,5,3007,1701557
2007,5,1358,2098249
2007,5,2573,2149593
2007,5,84,2150132
2007,5,2124,2244273
2007,6,588,1297288
2007,6,4069,1701557
2007,6,620,2098249
2007,6,2048,2149593
2007,6,56,2150132
2007,6,3386,2244273
2007,7,826,1297288
2007,7,4025,1701557
2007,7,996,2098249
2007,7,2564,2149593
2007,7,168,2150132
2007,7,3247,2244273
2007,8,754,1297288
2007,8,3709,1701557
2007,8,1018,2098249
2007,8,2050,2149593
2007,8,168,2150132
2007,8,4189,2244273
2007,9,883,1297288
2007,9,2234,1701557
2007,9,808,2098249
2007,9,1734,2149593
2007,9,1941,2244273
2007,10,481,1297288
2007,10,2676,1701557
2007,10,822,2098249
2007,10,2162,2149593
2007,10,476,2150132
2007,10,1663,2244273
2007,11,1213,1297288
2007,11,4224,1701557
2007,11,948,2098249
2007,11,4031,2149593
2007,11,3039,2244273
2007,12,603,1297288
2007,12,2478,1701557
2007,12,1258,2098249
2007,12,3612,2149593
2007,12,168,2150132
2007,12,3986,2244273
2008,1,1338,1297288
2008,1,4701,1701557
2008,1,716,2098249
2008,1,3508,2149593
2008,1,28,2150132
2008,1,4495,2244273
2008,2,702,1297288
2008,2,4946,1701557
2008,2,1084,2098249
2008,2,4323,2149593
2008,2,56,2150132
2008,2,3078,2244273
2008,3,1132,1297288
2008,3,4428,1701557
2008,3,934,2098249
2008,3,4332,2149593
2008,3,2600,2244273
2008,4,728,1297288
2008,4,5200,1701557
2008,4,208,2098249
2008,4,4209,2149593
2008,4,4133,2244273
2008,5,966,1297288
2008,5,5519,1701557
2008,5,740,2098249
2008,5,4863,2149593
2008,5,3603,2244273
2008,6,165,1297288
2008,6,3641,1701557
2008,6,798,2098249
2008,6,4279,2149593
2008,6,3522,2244273
2008,7,554,1297288
2008,7,5865,1701557
2008,7,1162,2098249
2008,7,4951,2149593
2008,7,3994,2244273
2008,8,748,1297288
2008,8,5985,1701557
2008,8,2433,2098249
2008,8,4809,2149593
2008,8,3105,2244273
2008,9,466,1297288
2008,9,5637,1701557
